club,coupon_type,alternative,form,freecoupons,price_generic,info_name,mailorder,name,pharmacy,price,retail
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Safeway,26.06,
55.04,retail price,,test strip,26.06,brand,,,Wavesense,Target (CVS),26.06,
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,CVS Pharmacy,339.02,370
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Walgreens,332.98,408
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Ralphs,313.48,360
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Costco,321.83,367
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Rite Aid,334.53,398
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Vons Pharmacy,320.64,321
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Albertsons (Sav-on),324.89,325
323.2,with free Discount,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Walmart,334.14,348
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Safeway,320.64,325
323.2,with free Coupon,Vilazodone,tablet,313.48,brand,Viibryd,288,Viibryd,Target (CVS),339.02,368
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,CVS Pharmacy,12.71,30
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Walgreens,9.99,18
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Costco,0.64,16
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Ralphs,8.25,30
3,retail price,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Walmart,14.44,
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Rite Aid,3.52,30
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Safeway,0.64,20
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Albertsons (Sav-on),0.64,20
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Vons Pharmacy,0.64,18
3,with free Coupon,"Timoptic Xe,Blocadren,Istalol,Timoptic",eye dropper,0.64,generic,Timolol,9,Timolol,Target (CVS),12.71,30
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,CVS Pharmacy,58.21,130
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Walgreens,54.89,133
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Ralphs,46.01,188
49.67,with free Discount,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Costco,97.93,106
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Rite Aid,57.1,212
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Vons Pharmacy,82.33,153
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Albertsons (Sav-on),82.33,153
49.67,with free Discount,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Walmart,101.81,136
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Safeway,82.33,162
49.67,with free Coupon,Klaron,bottle of lotion,46.01,generic,Sulfacetamide,110,Sulfacetamide,Target (CVS),58.21,130
80.55,with free Coupon,,bottle of gel,52,brand,,,Recedo,CVS Pharmacy,90.52,145
80.55,with free Coupon,,bottle of gel,52,brand,,,Recedo,Walgreens,91.13,145
80.55,with free Coupon,,bottle of gel,52,brand,,,Recedo,Ralphs,89.22,145
80.55,with free Discount,,bottle of gel,52,brand,,,Recedo,Costco,52,105
80.55,with free Coupon,,bottle of gel,52,brand,,,Recedo,Rite Aid,90.4,145
80.55,with free Discount,,bottle of gel,52,brand,,,Recedo,Vons Pharmacy,58.31,145
80.55,with free Discount,,bottle of gel,52,brand,,,Recedo,Albertsons (Sav-on),58.31,145
80.55,with free Discount,,bottle of gel,52,brand,,,Recedo,Walmart,86.7,145
80.55,with free Discount,,bottle of gel,52,brand,,,Recedo,Safeway,58.31,145
80.55,with free Coupon,,bottle of gel,52,brand,,,Recedo,Target (CVS),90.52,104
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,CVS Pharmacy,562.91,639
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Walgreens,565.03,653
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Ralphs,531.36,660
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Costco,578.59,660
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Rite Aid,566.58,747
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Vons Pharmacy,543.92,660
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Albertsons (Sav-on),543.92,660
552.55,with free Discount,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Walmart,567.03,643
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Safeway,543.92,660
552.55,with free Coupon,Lisinopril,ml of oral solution,531.36,brand,Lisinopril,,Qbrelis,Target (CVS),562.91,660
14.12,with free Discount,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,CVS Pharmacy,25.38,46
14.12,with free Coupon,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Ralphs,12.16,156
14.12,with free Discount,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Vons Pharmacy,6.54,73
14.12,with free Coupon,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Walgreens,23.83,51
14.12,with free Coupon,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Costco,12.99,46
14.12,with free Discount,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Rite Aid,13.17,72
14.12,with free Discount,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Safeway,6.54,95
14.12,with free Discount,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Walmart,17.47,37
14.12,with free Coupon,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Albertsons (Sav-on),6.66,73
14.12,with free Discount,Prometrium,capsule,6.54,generic,Progesterone,13.98,Progesterone,Target (CVS),25.38,44
69.54,with free Coupon,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,CVS Pharmacy,51.98,278
69.54,with free Coupon,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Vons Pharmacy,225.49,250
69.54,with free Discount,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Walgreens,71.8,
69.54,retail price,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Costco,202.42,
69.54,with free Coupon,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Safeway,225.49,240
69.54,with free Coupon,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Albertsons (Sav-on),163.85,218
69.54,with free Coupon,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Ralphs,111.68,275
69.54,with free Coupon,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Rite Aid,91.38,283
69.54,with free Coupon,Oxycontin,tablet,51.98,generic,Oxycodone,,Oxycodone Er,Target (CVS),51.98,281
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Walgreens,16.39,44
5.23,with free Discount,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Walmart,18.88,33
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Rite Aid,6.98,50
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,CVS Pharmacy,15.25,40
5.23,with free Discount,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Ralphs,13.23,37
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Costco,4.21,29
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Target (CVS),15.25,40
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Vons Pharmacy,4.21,41
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Albertsons (Sav-on),4.21,42
5.23,with free Coupon,Adalat Cc,tablet,4.21,generic,Nifedipine Er Procardia Xl,6.3,Nifedipine Er,Safeway,4.21,43
4.06,with free Coupon,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Safeway,5.96,18
4.06,with free Coupon,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Rite Aid,5.96,19
4.06,with free Discount,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,CVS Pharmacy,11.37,16
4.06,with free Coupon,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Walgreens,11.95,21
4.06,with free Discount,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Walmart,12.42,17
4.06,with free Coupon,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Albertsons (Sav-on),5.96,24
4.06,with free Coupon,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Vons Pharmacy,5.96,24
4.06,with free Discount,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Target (CVS),11.37,16
4.06,with free Coupon,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Ralphs,6.65,14
4.06,with free Coupon,Tapazole,tablet,5.96,generic,Methimazole,4.78,Methimazole,Costco,5.96,14
19.51,with free Coupon,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Costco,39.98,78
19.51,with free Discount,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Ralphs,23.95,535
19.51,with free Coupon,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Albertsons (Sav-on),23.01,213
19.51,with free Discount,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,CVS Pharmacy,117.95,492
19.51,with free Coupon,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Safeway,23.01,386
19.51,with free Discount,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Walmart,40.56,304
19.51,with free Coupon,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Walgreens,134.68,529
19.51,with free Coupon,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Vons Pharmacy,23.01,213
19.51,with free Discount,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Target (CVS),117.95,492
19.51,with free Discount,"Roweepra Xr,Keppra Xr",tablet,23.01,generic,Levetiracetam,36,Levetiracetam Er,Rite Aid,109.25,513
,with free Coupon,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,CVS Pharmacy,68.05,110
,with free Coupon,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Walgreens,48.39,145
,with free Coupon,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Ralphs,44.65,153
,with free Discount,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Costco,76.73,153
,retail price,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Rite Aid,153.24,
,with free Coupon,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Vons Pharmacy,44.63,153
,with free Coupon,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Albertsons (Sav-on),44.63,153
,retail price,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Walmart,168.85,
,with free Coupon,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Safeway,44.63,153
,with free Coupon,Orudis,capsule,44.63,generic,Ketoprofen,,Ketoprofen,Target (CVS),68.05,111
57.96,with free Discount,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,CVS Pharmacy,111.22,480
57.96,with free Coupon,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Walgreens,159.87,539
57.96,with free Discount,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Ralphs,92.69,544
57.96,with free Coupon,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Costco,241.14,347
57.96,with free Coupon,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Rite Aid,146.14,552
57.96,with free Discount,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Vons Pharmacy,117.6,488
57.96,with free Discount,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Albertsons (Sav-on),117.6,463
57.96,with free Discount,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Walmart,209.89,409
57.96,with free Discount,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Safeway,117.6,463
57.96,with free Discount,Dutasteride Tamsulosin,capsule,92.69,generic,Jalyn,198,Jalyn,Target (CVS),111.22,480
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,CVS Pharmacy,436.99,585
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Walgreens,436.99,596
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Ralphs,436.99,588
,with free Coupon,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Costco,541.51,588
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Rite Aid,436.99,642
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Vons Pharmacy,436.99,588
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Albertsons (Sav-on),436.99,588
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Walmart,442.49,562
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Safeway,436.99,545
,with free Discount,,tablet,436.99,brand,Jentadueto,543,Jentadueto Xr,Target (CVS),436.99,588
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,CVS Pharmacy,436.99,586
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Walgreens,436.99,628
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Ralphs,436.99,590
,with free Coupon,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Costco,541.51,560
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Rite Aid,436.99,648
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Vons Pharmacy,436.99,590
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Albertsons (Sav-on),436.99,590
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Walmart,442.49,563
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Safeway,436.99,545
,with free Discount,Metformin and Linagliptin,tablet,436.99,brand,Jentadueto,478.2,Jentadueto,Target (CVS),436.99,592
29.91,with free Coupon,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,CVS Pharmacy,29.08,99
29.91,with free Coupon,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Walgreens,32.21,105
29.91,with free Discount,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Ralphs,21.48,120
29.91,with free Coupon,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Costco,20.96,27
29.91,with free Discount,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Rite Aid,35.07,120
29.91,with free Discount,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Vons Pharmacy,20.96,120
29.91,with free Discount,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Albertsons (Sav-on),20.96,120
29.91,with free Discount,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Walmart,49.21,129
29.91,with free Discount,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Safeway,20.96,105
29.91,with free Coupon,"Fyavolv,Norethindrone Acetate",package,20.96,generic,Jevantique Lo,,Jevantique Lo,Target (CVS),29.08,99
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Walgreens,19.38,41
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Albertsons (Sav-on),11.1,32
6.05,with free Discount,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,CVS Pharmacy,12,36
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Rite Aid,7.44,50
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Ralphs,10.88,33
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Safeway,11.1,31
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Target (CVS),12.74,36
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Costco,10.99,29
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Vons Pharmacy,11.1,30
6.05,retail price,"Micronor,Norethindrone",package,7.44,generic,Jolivette,7.56,Jolivette,Walmart,9,
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,CVS Pharmacy,543.77,614
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Walgreens,545.83,669
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Ralphs,513.34,616
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Costco,558.95,569
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Rite Aid,547.38,676
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Vons Pharmacy,525.45,529
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Albertsons (Sav-on),532.79,538
533.58,with free Discount,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Walmart,549.22,599
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Safeway,532.79,621
533.58,with free Coupon,Metformin,tablet,513.34,brand,Janumet,489.6,Janumet Xr,Target (CVS),543.77,614
15.31,with free Discount,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,CVS Pharmacy,20.31,100
15.31,with free Coupon,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Walgreens,32.71,100
15.31,with free Discount,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Ralphs,16.29,100
15.31,with free Coupon,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Costco,15.2,91
15.31,with free Coupon,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Rite Aid,26.52,111
15.31,with free Coupon,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Vons Pharmacy,15.21,83
15.31,with free Coupon,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Albertsons (Sav-on),15.21,86
15.31,with free Discount,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Walmart,33.46,67
15.31,with free Coupon,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Safeway,15.21,84
15.31,with free Discount,"Desogen,Ortho Cept,Desogestrel Ethinyl",package,15.2,generic,Juleber,55.44,Juleber,Target (CVS),20.31,100
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,CVS Pharmacy,12.74,19
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Walgreens,19.97,39
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Ralphs,10.88,33
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Costco,10.99,19
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Rite Aid,7.44,19
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Vons Pharmacy,11.1,19
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Albertsons (Sav-on),11.1,19
6.05,retail price,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Walmart,9,
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Safeway,11.1,19
6.05,with free Coupon,"Micronor,Norethindrone",package,7.44,generic,Jencycla,,Jencycla,Target (CVS),12.74,19
533.58,with free Coupon,,tablet,513.34,brand,Janumet,489.6,Janumet,Ralphs,513.34,642
533.58,with free Coupon,,tablet,513.34,brand,Janumet,489.6,Janumet,CVS Pharmacy,543.77,600
533.58,with free Coupon,,tablet,513.34,brand,Janumet,489.6,Janumet,Costco,558.95,566
